buffer,sum,area_km2,mnd_km2,type
1000,157,3.14569,49.90955879314236,model10mveg
2500,300,19.6605625,15.258973388986199,model10mveg
5000,621,78.64225,7.896518728800358,model10mveg
10000,1279,314.569,4.065880617606948,model10mveg
20000,2939,1258.276,2.335735561991169,model10mveg
40000,6194,5033.104,1.230652098585684,model10mveg
1000,165,3.14569,52.45272102464006,model20mveg
2500,309,19.6605625,15.716742590655786,model20mveg
5000,603,78.64225,7.667634127965565,model20mveg
10000,1372,314.569,4.361523227018555,model20mveg
20000,3041,1258.276,2.416798858120158,model20mveg
40000,5970,5033.104,1.1861467595344741,model20mveg
1000,172,3.14569,54.67798797720055,modelNOveg
2500,288,19.6605625,14.64861445342675,modelNOveg
5000,616,78.64225,7.832939673012915,modelNOveg
10000,1410,314.569,4.482323433014696,modelNOveg
20000,3114,1258.276,2.4748147465261994,modelNOveg
40000,6009,5033.104,1.1938954569585687,modelNOveg
